tenth_percent,twelfth_percent,degree,cgpa,internships,projects,backlogs,communication_skill,extra_curricular,interest,placed,package_lpa
64.97,73.05,M.Tech,8.0,0,2,0,7,0,Testing,1,6.95
74.81,69.3,B.Tech,5.5,1,3,0,6,0,Core/Mechanical,0,0.0
72.11,90.13,B.Tech,10.0,0,2,0,4,1,Core/Mechanical,1,10.38
78.23,86.08,M.Tech,9.06,2,3,0,10,0,Web Development,1,9.39
66.73,64.13,MCA,6.72,2,2,0,5,0,Machine Learning,1,9.17
80.19,60.19,M.Tech,6.98,0,2,1,8,1,Data Science,0,0.0
90.33,100.0,B.Tech,9.74,1,2,0,4,1,Data Science,1,8.63
73.91,62.79,MCA,7.25,3,2,0,6,1,Testing,1,9.95
79.02,65.86,B.Tech,7.76,2,0,1,8,0,Core/Mechanical,0,0.0
81.9,90.08,BCA,9.04,0,4,2,6,0,Machine Learning,0,0.0
70.99,90.51,MCA,8.15,0,4,1,6,0,Machine Learning,0,0.0
77.24,88.31,B.Tech,8.12,1,1,0,7,1,Machine Learning,1,9.23
75.13,79.64,MCA,7.62,0,3,0,4,0,Testing,0,0.0
75.98,80.74,B.Tech,7.68,1,0,0,4,0,Data Science,0,0.0
67.27,74.1,MCA,7.98,1,2,1,8,0,Machine Learning,0,0.0
75.25,81.32,B.Tech,8.3,2,0,0,6,0,Testing,1,9.79
79.98,82.23,MCA,5.76,1,3,0,8,0,Testing,1,5.82
89.51,90.34,B.Tech,9.52,1,2,1,9,1,Web Development,1,8.98
84.59,84.09,BCA,8.59,0,1,1,9,1,Networking,0,0.0
96.53,90.5,B.Sc,9.34,0,0,0,4,0,Machine Learning,1,9.33
67.33,65.08,B.Sc,6.31,1,0,0,5,0,Networking,0,0.0
83.72,70.18,B.Tech,8.59,1,4,0,7,1,Data Science,0,0.0
76.83,76.04,BCA,8.4,1,2,0,7,0,Testing,1,7.89
96.9,88.99,B.Tech,8.68,1,2,1,10,0,Machine Learning,1,8.65
66.92,58.09,B.Sc,6.58,1,3,1,5,0,Core/Mechanical,0,0.0
66.6,68.04,B.Tech,5.95,1,5,0,9,1,Data Science,0,0.0
69.01,80.15,MCA,6.35,3,3,0,7,1,Web Development,1,7.34
53.76,61.11,B.Tech,5.24,1,0,1,4,1,Web Development,0,0.0
69.74,57.18,B.Tech,7.04,0,0,1,6,0,Networking,0,0.0
67.41,59.49,B.Tech,7.11,3,2,1,7,0,Testing,0,0.0
76.5,84.03,B.Tech,8.44,0,2,0,3,1,Networking,0,0.0
78.42,70.56,B.Tech,8.03,1,2,1,3,0,Core/Mechanical,0,0.0
93.76,91.96,B.Sc,9.7,3,3,0,3,1,Core/Mechanical,1,10.59
84.5,88.9,M.Tech,8.16,1,0,0,7,1,Web Development,1,7.88
69.23,61.48,BCA,6.88,2,0,0,6,0,Machine Learning,0,0.0
66.02,66.86,B.Sc,7.28,1,3,1,5,1,Web Development,0,0.0
79.92,69.25,B.Tech,8.06,0,2,0,5,0,Web Development,0,0.0
61.8,56.99,BCA,6.89,0,3,0,4,1,Core/Mechanical,0,0.0
93.31,95.87,B.Tech,10.0,1,1,0,6,0,Networking,1,9.86
86.79,74.05,BCA,8.32,2,3,0,3,0,Core/Mechanical,1,7.71
70.31,73.83,B.Tech,8.06,1,3,0,9,1,Testing,1,9.91
57.87,57.71,B.Tech,5.76,0,1,0,10,1,Core/Mechanical,0,0.0
88.54,92.96,B.Tech,8.37,1,3,0,2,0,Core/Mechanical,1,8.39
73.85,75.64,M.Tech,7.34,1,4,1,6,1,Web Development,0,0.0
87.38,98.29,B.Tech,8.69,2,2,0,6,0,Machine Learning,1,7.15
59.06,60.06,B.Sc,5.42,3,1,0,6,0,Web Development,0,0.0
69.01,65.57,B.Tech,6.61,4,4,0,8,0,Data Science,1,9.41
75.05,76.03,BCA,6.92,1,1,2,6,0,Core/Mechanical,0,0.0
75.47,79.82,MCA,7.52,2,1,1,6,0,Core/Mechanical,1,6.47
70.5,70.89,B.Tech,5.55,2,3,0,10,0,Data Science,1,8.51
81.23,81.55,B.Sc,8.31,3,1,1,6,0,Core/Mechanical,1,9.08
64.32,58.7,MCA,6.15,2,4,0,10,0,Core/Mechanical,1,9.89
73.58,68.28,B.Sc,6.44,2,3,1,7,0,Testing,0,0.0
76.2,64.98,B.Sc,7.59,0,0,2,6,1,Core/Mechanical,0,0.0
80.14,94.14,B.Sc,9.46,1,2,0,5,0,Data Science,1,9.72
82.12,72.17,BCA,6.43,0,3,0,6,1,Web Development,0,0.0
63.75,58.21,B.Tech,5.49,0,2,1,4,1,Core/Mechanical,0,0.0
59.66,53.91,M.Tech,5.06,0,1,0,5,1,Machine Learning,0,0.0
87.78,94.94,B.Tech,8.38,3,4,0,6,1,Data Science,1,9.76
78.32,75.96,B.Tech,8.38,1,1,0,7,1,Networking,1,9.9
67.52,77.5,BCA,7.1,2,1,0,10,0,Testing,1,9.02
90.51,85.12,B.Tech,8.57,1,0,0,6,0,Data Science,0,0.0
76.16,78.39,B.Tech,6.12,1,3,0,7,1,Web Development,0,0.0
86.79,80.11,BCA,8.85,2,0,0,4,1,Data Science,1,8.62
75.68,92.84,M.Tech,7.43,0,2,0,8,1,Networking,1,6.18
95.61,86.11,M.Tech,9.13,1,1,0,3,0,Testing,1,9.13
92.55,95.03,MCA,9.6,1,1,0,8,1,Machine Learning,1,10.07
72.51,77.58,M.Tech,8.59,0,2,1,6,0,Networking,0,0.0
84.72,88.03,B.Tech,7.59,1,4,0,6,0,Data Science,1,9.77
81.45,79.97,B.Tech,5.66,0,4,0,6,0,Networking,0,0.0
88.69,87.65,M.Tech,8.96,0,3,0,4,1,Data Science,0,0.0
65.35,65.7,B.Tech,7.99,1,4,0,4,1,Machine Learning,1,9.0
81.86,80.68,BCA,9.12,1,1,0,8,0,Machine Learning,1,8.07
85.58,93.29,BCA,9.11,1,2,0,7,1,Web Development,1,8.61
57.41,75.09,B.Tech,6.23,0,1,1,6,0,Machine Learning,0,0.0
63.17,58.71,MCA,6.74,2,1,1,7,0,Core/Mechanical,0,0.0
54.61,43.65,B.Sc,5.0,0,4,0,7,0,Networking,0,0.0
72.31,71.6,B.Sc,7.58,0,2,0,5,0,Networking,0,0.0
82.18,100.0,MCA,9.51,2,0,0,10,0,Data Science,1,10.46
90.02,83.59,B.Sc,9.53,0,3,0,8,0,Machine Learning,1,7.55
75.74,88.85,B.Tech,10.0,3,1,0,7,1,Web Development,1,10.19
91.29,100.0,B.Sc,9.88,0,2,1,6,1,Web Development,1,9.57
61.2,56.77,M.Tech,5.49,1,2,0,8,0,Web Development,0,0.0
57.97,62.52,BCA,6.0,0,0,0,5,0,Testing,0,0.0
74.44,87.47,BCA,6.68,1,2,0,5,0,Core/Mechanical,0,0.0
78.84,75.81,BCA,7.18,1,5,1,10,0,Machine Learning,1,7.24
74.67,73.04,B.Tech,7.06,0,2,0,7,0,Web Development,0,0.0
54.33,49.68,M.Tech,5.0,1,3,1,5,0,Core/Mechanical,0,0.0
74.11,65.99,M.Tech,7.13,2,0,1,7,1,Networking,0,0.0
61.96,56.77,B.Tech,5.28,1,2,0,8,1,Data Science,0,0.0
81.7,71.91,B.Tech,8.58,2,1,0,8,0,Machine Learning,1,8.28
78.67,78.94,MCA,7.88,0,3,2,8,0,Machine Learning,0,0.0
65.6,59.44,M.Tech,6.24,2,2,0,4,0,Testing,0,0.0
69.86,71.73,M.Tech,6.82,0,1,1,8,1,Networking,0,0.0
64.41,51.96,M.Tech,5.94,0,2,0,6,0,Machine Learning,0,0.0
74.37,77.02,B.Sc,8.23,2,1,0,7,0,Testing,1,10.58
84.55,91.22,BCA,8.09,1,2,0,9,1,Testing,1,9.36
65.14,49.19,B.Sc,5.19,1,5,1,8,0,Testing,0,0.0
80.04,83.03,B.Tech,7.91,0,3,0,7,0,Machine Learning,1,9.74
69.7,79.52,BCA,6.38,1,4,0,3,0,Machine Learning,0,0.0
67.07,57.39,B.Sc,5.57,1,2,1,6,0,Machine Learning,0,0.0
73.93,87.31,BCA,7.68,1,2,1,5,0,Core/Mechanical,0,0.0
64.65,68.0,B.Sc,7.33,1,0,0,8,0,Testing,1,9.02
69.46,63.82,B.Sc,6.87,3,2,1,8,0,Core/Mechanical,1,8.8
63.02,62.57,B.Tech,6.43,0,1,0,6,0,Data Science,0,0.0
94.65,99.12,B.Tech,10.0,0,1,1,5,1,Machine Learning,1,8.85
75.35,75.96,B.Tech,7.46,1,2,0,9,0,Networking,1,7.57
68.0,72.31,B.Tech,7.33,1,3,2,5,0,Web Development,1,7.07
77.14,69.77,MCA,7.26,0,1,0,4,1,Data Science,0,0.0
73.88,75.23,B.Tech,7.67,1,2,0,5,1,Web Development,0,0.0
72.79,61.48,B.Tech,6.25,0,1,0,6,1,Web Development,0,0.0
81.14,80.25,B.Sc,6.12,1,2,0,5,0,Machine Learning,0,0.0
82.58,75.35,BCA,7.79,2,1,1,8,0,Networking,1,7.76
69.69,63.81,B.Tech,7.81,0,1,1,3,1,Web Development,0,0.0
69.24,79.13,BCA,8.16,1,3,0,5,1,Testing,1,9.85
72.25,80.98,BCA,8.43,3,3,0,6,0,Web Development,1,9.67
51.98,56.85,B.Tech,6.43,1,1,0,7,1,Data Science,0,0.0
59.85,51.11,B.Tech,5.62,1,0,0,10,0,Networking,0,0.0
88.67,86.14,MCA,8.9,1,3,1,9,1,Networking,1,9.49
91.45,100.0,M.Tech,9.08,0,3,1,4,1,Web Development,1,8.97
72.51,73.64,BCA,7.05,1,3,1,3,1,Networking,0,0.0
80.77,99.32,B.Tech,9.5,4,0,1,7,1,Data Science,1,12.59
78.11,81.26,B.Tech,8.93,1,0,2,5,1,Data Science,1,7.36
100.0,100.0,B.Sc,9.89,1,0,0,4,0,Data Science,1,9.54
86.2,83.73,B.Tech,8.14,1,4,0,7,0,Testing,1,10.12
73.72,74.79,B.Tech,7.43,0,1,1,7,0,Machine Learning,0,0.0
65.44,64.22,BCA,6.96,2,3,0,5,0,Web Development,0,0.0
58.94,64.6,B.Tech,5.02,3,0,0,5,1,Networking,0,0.0
77.03,84.68,BCA,6.25,1,0,0,5,0,Data Science,0,0.0
67.44,61.15,M.Tech,5.99,1,4,1,6,0,Web Development,0,0.0
60.78,50.13,B.Tech,5.0,2,1,0,7,1,Web Development,0,0.0
68.53,53.84,M.Tech,5.71,0,2,1,5,1,Machine Learning,0,0.0
64.18,68.24,B.Tech,6.5,1,4,0,5,0,Testing,0,0.0
91.87,83.04,M.Tech,8.38,1,1,0,6,0,Networking,1,7.83
83.82,66.6,B.Tech,8.68,0,0,0,6,0,Testing,0,0.0
74.92,78.03,B.Tech,7.91,3,1,0,7,1,Networking,1,9.1
89.8,100.0,BCA,9.73,2,2,1,10,0,Data Science,1,10.01
75.77,75.72,B.Sc,8.07,2,1,0,8,1,Data Science,1,8.64
66.39,73.1,MCA,6.06,0,1,0,8,0,Web Development,1,8.05
90.23,90.88,B.Tech,9.89,1,1,0,6,0,Networking,1,8.51
80.39,79.6,B.Tech,7.94,1,3,1,5,1,Networking,0,0.0
64.63,71.98,B.Sc,7.37,2,1,0,6,0,Testing,0,0.0
73.1,70.78,B.Sc,6.34,0,1,0,5,0,Data Science,0,0.0
66.24,68.38,B.Tech,5.49,0,3,1,7,0,Core/Mechanical,0,0.0
61.17,63.74,BCA,6.9,2,1,0,4,0,Web Development,0,0.0
84.26,78.92,BCA,8.46,1,2,0,8,0,Networking,1,9.44
94.09,100.0,M.Tech,8.98,2,0,1,6,0,Machine Learning,1,10.39
61.01,59.61,MCA,5.34,1,1,2,8,0,Machine Learning,0,0.0
80.63,74.58,B.Tech,8.66,0,3,0,5,0,Core/Mechanical,0,0.0
68.49,72.78,BCA,6.11,0,1,0,5,1,Data Science,0,0.0
70.13,62.94,B.Tech,7.97,0,4,0,6,1,Data Science,0,0.0
69.08,69.31,BCA,6.2,1,2,1,6,0,Data Science,0,0.0
66.36,66.29,B.Sc,7.14,1,0,0,8,1,Testing,0,0.0
75.49,84.18,MCA,7.72,0,4,0,8,0,Machine Learning,1,6.62
66.69,70.49,BCA,7.34,2,2,0,10,0,Data Science,1,7.71
77.7,77.5,MCA,7.32,2,1,0,6,0,Machine Learning,1,9.49
74.5,81.04,M.Tech,7.65,1,1,1,1,0,Core/Mechanical,0,0.0
72.61,83.73,MCA,7.85,0,2,1,6,0,Web Development,0,0.0
65.92,70.38,M.Tech,6.01,1,1,0,7,0,Testing,0,0.0
69.23,69.31,B.Sc,7.52,2,2,0,8,1,Networking,1,6.95
82.55,72.06,B.Tech,7.32,1,2,0,7,1,Core/Mechanical,1,7.7
80.01,71.49,B.Tech,7.39,2,1,0,6,0,Machine Learning,1,9.18
65.22,62.78,B.Tech,5.6,4,1,2,10,1,Core/Mechanical,0,0.0
75.99,71.11,B.Sc,5.31,0,5,0,5,1,Networking,0,0.0
82.51,81.01,B.Sc,8.02,0,1,0,6,1,Testing,1,9.0
58.31,58.76,B.Sc,7.78,0,6,1,5,0,Web Development,0,0.0
80.43,84.67,MCA,8.88,2,4,1,7,0,Networking,1,11.97
68.37,67.81,MCA,6.79,0,2,0,9,0,Testing,1,6.73
80.71,84.6,B.Tech,8.06,1,1,1,6,0,Machine Learning,1,8.12
67.37,67.89,B.Tech,6.78,2,1,0,6,1,Networking,0,0.0
56.95,41.15,B.Tech,5.34,0,3,0,3,0,Core/Mechanical,0,0.0
58.72,51.21,B.Tech,5.0,0,2,0,6,0,Data Science,0,0.0
75.48,74.33,BCA,8.38,3,1,0,9,1,Core/Mechanical,1,9.45
77.6,67.92,B.Sc,7.85,1,4,0,6,1,Machine Learning,1,8.0
65.96,70.76,B.Sc,7.41,1,2,1,6,0,Web Development,1,7.72
81.39,93.64,M.Tech,9.1,0,1,1,8,1,Networking,0,0.0
58.38,68.13,M.Tech,6.34,1,3,0,6,0,Web Development,0,0.0
74.34,72.63,B.Tech,7.89,0,2,0,9,0,Machine Learning,1,7.33
62.89,74.82,BCA,7.36,0,4,0,4,0,Networking,0,0.0
68.48,69.67,B.Tech,6.62,3,4,0,8,1,Testing,1,8.18
75.47,72.77,B.Tech,6.95,1,1,1,9,1,Testing,0,0.0
66.4,61.49,B.Tech,6.48,1,4,0,8,0,Core/Mechanical,0,0.0
71.15,68.73,B.Sc,8.23,1,0,0,3,0,Core/Mechanical,0,0.0
85.06,81.95,B.Tech,7.36,0,3,1,5,0,Machine Learning,0,0.0
69.23,70.59,B.Tech,5.82,0,3,0,6,0,Testing,0,0.0
83.36,84.64,BCA,8.53,0,2,0,8,0,Networking,1,9.49
63.7,63.72,BCA,6.41,0,3,0,4,0,Testing,0,0.0
80.3,83.8,B.Tech,8.34,0,1,0,5,1,Core/Mechanical,0,0.0
89.42,98.95,B.Tech,9.61,2,4,0,4,1,Machine Learning,1,10.54
50.28,57.88,M.Tech,5.23,4,3,0,5,0,Testing,0,0.0
67.03,55.15,B.Tech,7.3,0,0,0,4,0,Machine Learning,0,0.0
80.77,60.34,MCA,5.77,1,2,0,9,0,Testing,1,8.32
72.97,80.44,BCA,7.01,1,1,0,5,0,Web Development,0,0.0
78.71,67.77,B.Tech,7.24,0,0,2,8,1,Testing,0,0.0
68.96,67.16,B.Tech,5.49,1,3,0,7,1,Core/Mechanical,0,0.0
75.87,66.51,B.Tech,6.98,2,1,0,7,0,Networking,0,0.0
73.44,59.02,B.Tech,7.95,2,1,0,5,0,Core/Mechanical,1,6.51
86.68,91.01,B.Tech,8.9,2,1,1,8,1,Core/Mechanical,1,8.1
77.54,83.61,BCA,8.24,0,4,2,7,0,Core/Mechanical,0,0.0
78.38,73.77,B.Tech,6.6,0,3,0,7,1,Machine Learning,0,0.0
70.88,50.15,B.Sc,5.56,1,0,0,5,0,Data Science,0,0.0
70.12,65.75,B.Sc,6.49,1,1,0,6,1,Data Science,0,0.0
70.67,73.8,B.Tech,6.97,0,4,0,8,0,Web Development,1,6.97
78.94,67.11,B.Tech,8.33,1,2,0,7,1,Core/Mechanical,1,8.78
70.79,72.26,B.Tech,7.6,1,1,1,7,1,Data Science,0,0.0
77.9,77.78,B.Tech,6.89,1,2,0,5,0,Web Development,0,0.0
95.75,100.0,BCA,9.98,0,1,0,10,1,Machine Learning,1,9.32
83.71,84.67,B.Tech,8.82,0,3,1,6,1,Core/Mechanical,1,6.92
71.74,63.96,BCA,7.7,1,3,1,6,0,Networking,1,7.19
87.01,96.58,B.Tech,10.0,0,6,0,6,0,Machine Learning,1,9.49
70.92,69.65,B.Sc,6.22,2,1,0,10,0,Web Development,0,0.0
54.62,54.4,B.Sc,5.0,2,3,0,6,0,Machine Learning,0,0.0
64.92,57.45,BCA,5.11,0,1,1,6,0,Networking,0,0.0
56.29,52.74,B.Tech,5.26,3,4,1,7,1,Machine Learning,1,9.69
71.48,64.4,B.Tech,7.17,1,2,0,5,0,Web Development,0,0.0
75.18,73.8,B.Sc,8.24,1,3,0,7,1,Networking,1,10.21
91.76,100.0,B.Tech,9.53,0,1,0,10,0,Networking,1,6.76
78.27,67.29,B.Tech,7.02,2,2,1,7,0,Machine Learning,1,8.36
72.81,59.9,BCA,6.76,1,2,0,7,0,Networking,0,0.0
83.29,95.06,B.Sc,8.25,0,2,0,5,0,Machine Learning,1,7.42
52.89,51.22,BCA,6.88,0,1,0,10,0,Core/Mechanical,0,0.0
77.36,72.01,B.Sc,6.18,2,4,0,10,0,Networking,1,7.49
82.71,91.03,BCA,8.83,1,1,0,8,0,Machine Learning,1,6.77
60.21,55.37,BCA,7.4,2,1,0,8,1,Core/Mechanical,0,0.0
86.44,100.0,B.Sc,9.33,1,2,0,6,1,Networking,1,9.82
78.38,83.8,BCA,7.96,0,2,0,7,0,Core/Mechanical,1,6.14
70.85,66.95,M.Tech,6.6,2,5,0,5,1,Testing,0,0.0
81.33,98.59,B.Tech,8.85,0,0,0,4,1,Networking,0,0.0
97.71,92.86,B.Tech,10.0,1,0,0,4,0,Testing,1,9.33
76.82,82.76,BCA,6.21,0,2,0,7,1,Web Development,0,0.0
77.48,79.87,B.Sc,9.09,2,1,1,4,1,Web Development,1,9.97
70.41,80.82,B.Tech,6.42,1,4,0,6,0,Machine Learning,0,0.0
66.5,78.99,M.Tech,7.06,0,4,0,6,0,Data Science,0,0.0
83.3,83.56,B.Tech,8.0,2,2,0,8,0,Testing,1,7.66
66.44,60.41,BCA,6.81,1,1,1,5,0,Testing,0,0.0
75.72,79.4,BCA,6.48,1,1,2,9,1,Web Development,0,0.0
70.22,64.8,MCA,7.12,4,4,0,8,0,Testing,1,9.44
79.79,95.9,B.Tech,10.0,1,1,0,5,1,Data Science,1,10.11
78.34,79.43,B.Sc,6.8,1,6,0,9,1,Core/Mechanical,1,6.88
85.38,82.46,B.Tech,8.54,1,0,0,6,1,Core/Mechanical,0,0.0
69.9,71.38,B.Tech,6.53,1,1,0,6,1,Data Science,0,0.0
72.3,61.52,B.Tech,7.03,1,3,0,6,0,Testing,0,0.0
65.21,57.44,B.Sc,6.15,0,1,0,6,0,Testing,0,0.0
70.56,80.16,B.Sc,7.02,1,3,0,6,1,Testing,0,0.0
78.77,73.51,B.Tech,8.0,2,2,1,5,0,Machine Learning,0,0.0
82.57,74.19,BCA,9.28,2,2,1,5,0,Networking,1,7.87
65.78,70.07,BCA,6.64,2,1,0,7,1,Data Science,0,0.0
83.7,93.19,BCA,9.42,0,2,0,6,1,Data Science,1,9.28
88.56,94.31,MCA,8.11,0,0,0,7,0,Data Science,0,0.0
79.13,87.1,B.Tech,7.55,0,1,0,7,1,Data Science,1,6.27
93.77,87.72,MCA,9.45,1,0,0,7,1,Data Science,1,8.76
67.26,55.89,M.Tech,7.34,0,5,1,8,0,Testing,0,0.0
62.55,74.56,B.Tech,7.14,4,4,0,9,0,Machine Learning,1,8.84
57.21,54.63,B.Tech,5.34,1,3,1,9,1,Web Development,0,0.0
89.96,87.95,B.Tech,8.89,2,1,0,9,0,Testing,1,11.59
81.54,92.17,B.Tech,7.69,1,2,0,8,0,Testing,1,7.95
74.44,78.89,B.Sc,8.15,2,1,1,10,0,Networking,1,7.73
77.8,81.45,B.Sc,8.67,1,4,0,7,1,Web Development,1,8.87
63.75,81.07,BCA,6.88,1,1,0,7,0,Data Science,0,0.0
99.46,94.31,B.Sc,9.31,3,0,1,10,0,Web Development,1,8.54
76.29,83.71,B.Tech,8.21,2,3,1,2,0,Machine Learning,0,0.0
76.09,76.55,M.Tech,7.28,1,1,1,6,1,Core/Mechanical,1,8.85
82.26,84.41,B.Tech,8.28,1,3,0,9,0,Testing,1,8.24
79.81,92.04,MCA,10.0,0,0,1,8,1,Web Development,1,6.94
77.24,81.3,B.Tech,7.73,1,2,0,10,1,Networking,1,8.48
67.1,71.41,MCA,6.64,1,2,0,7,0,Machine Learning,1,8.09
79.71,88.29,B.Tech,7.88,2,1,0,6,1,Core/Mechanical,1,8.14
93.82,90.9,B.Tech,9.83,0,3,0,6,1,Machine Learning,1,8.32
88.45,81.74,B.Tech,8.36,1,3,1,7,1,Data Science,1,10.77
90.93,82.57,BCA,8.16,3,1,0,9,0,Core/Mechanical,1,8.74
69.89,54.16,M.Tech,7.26,3,1,0,9,1,Networking,1,7.73
65.1,81.55,B.Tech,8.47,2,3,0,6,1,Core/Mechanical,1,9.11
73.74,64.91,MCA,6.45,2,1,1,7,1,Networking,0,0.0
75.56,73.79,B.Sc,5.97,0,0,0,5,0,Data Science,0,0.0
85.94,83.73,BCA,9.29,2,1,1,6,1,Networking,1,7.11
58.08,60.54,M.Tech,5.38,0,3,2,8,0,Machine Learning,0,0.0
90.3,96.83,B.Tech,9.99,2,4,0,9,0,Web Development,1,11.15
73.42,80.3,B.Tech,6.11,0,2,1,5,0,Machine Learning,0,0.0
70.73,66.07,MCA,7.55,1,0,0,7,1,Testing,1,6.79
64.88,63.54,MCA,5.45,1,2,0,6,0,Machine Learning,1,8.01
58.45,60.71,MCA,6.54,0,1,0,8,0,Core/Mechanical,0,0.0
83.23,81.24,MCA,8.23,0,3,0,6,1,Data Science,0,0.0
75.73,88.59,B.Tech,7.45,1,2,0,3,0,Testing,0,0.0
62.1,66.03,M.Tech,6.08,1,2,0,8,1,Testing,1,9.15
62.05,67.93,B.Tech,7.05,1,2,0,6,0,Testing,0,0.0
71.64,76.94,MCA,7.51,1,0,0,6,0,Web Development,0,0.0
91.69,100.0,B.Sc,10.0,1,3,0,7,1,Networking,1,11.49
72.4,73.85,B.Sc,8.89,0,2,0,7,1,Core/Mechanical,0,0.0
59.97,49.6,B.Sc,5.0,1,0,1,7,0,Data Science,0,0.0
72.54,75.74,B.Tech,8.71,3,2,0,4,1,Web Development,1,9.96
72.27,67.06,B.Tech,7.05,0,2,0,8,0,Machine Learning,0,0.0
48.03,43.8,M.Tech,5.0,0,2,0,3,0,Data Science,0,0.0
74.46,79.15,M.Tech,6.62,0,2,2,8,0,Testing,0,0.0
72.69,82.6,B.Tech,7.61,2,3,1,9,0,Data Science,1,8.32
81.96,82.13,BCA,8.94,2,1,0,4,0,Data Science,1,8.73
93.49,95.96,BCA,9.37,0,2,0,7,0,Machine Learning,1,8.86
86.27,99.89,B.Tech,10.0,0,2,1,8,0,Networking,1,8.9
72.31,74.24,B.Tech,6.17,0,3,0,6,0,Core/Mechanical,0,0.0
63.93,84.74,M.Tech,7.42,0,2,1,8,0,Testing,0,0.0
100.0,100.0,BCA,9.0,1,4,0,1,1,Networking,1,7.63
75.59,61.5,B.Sc,7.15,2,2,1,8,1,Web Development,0,0.0
75.14,81.17,BCA,8.53,1,1,0,7,1,Testing,1,8.56
74.76,77.81,B.Tech,7.29,1,1,0,6,0,Core/Mechanical,0,0.0
76.98,87.3,B.Sc,6.13,0,0,0,8,1,Web Development,0,0.0
73.56,78.95,B.Tech,7.78,0,2,0,10,1,Machine Learning,1,6.69
69.26,68.15,B.Tech,7.22,2,4,0,7,0,Networking,1,9.79
69.53,59.74,BCA,6.79,1,1,0,9,0,Testing,0,0.0
74.67,73.0,MCA,8.37,0,0,0,4,1,Data Science,0,0.0
69.57,62.77,B.Tech,5.76,1,2,2,8,1,Core/Mechanical,0,0.0
67.87,63.23,B.Tech,7.1,0,0,0,6,1,Testing,0,0.0
76.06,80.77,BCA,8.8,3,0,1,5,1,Data Science,1,10.75
72.45,85.81,M.Tech,6.49,1,3,0,3,1,Testing,0,0.0
90.04,93.2,BCA,9.42,0,2,2,8,1,Web Development,1,8.65
48.49,40.0,M.Tech,5.0,0,3,1,8,0,Data Science,0,0.0
85.92,89.48,B.Sc,8.7,2,1,0,9,0,Data Science,1,9.37
87.46,97.03,BCA,9.5,2,1,1,9,1,Testing,1,10.79
54.27,49.39,B.Tech,5.0,0,2,0,5,0,Machine Learning,0,0.0
71.57,70.5,B.Tech,6.56,1,4,1,9,1,Machine Learning,0,0.0
71.29,71.41,B.Tech,7.16,1,3,0,9,1,Networking,1,6.39
60.92,54.64,B.Sc,5.0,2,1,1,6,1,Web Development,0,0.0
67.22,72.41,MCA,6.11,1,4,0,7,1,Machine Learning,1,7.84
63.89,62.92,M.Tech,6.88,1,1,0,5,0,Testing,0,0.0
92.52,95.88,B.Tech,8.5,1,3,0,9,0,Machine Learning,1,6.6
84.36,77.26,B.Tech,8.61,1,1,0,4,0,Networking,0,0.0
87.72,84.22,B.Tech,8.97,4,1,0,7,1,Core/Mechanical,1,10.72
82.22,88.0,B.Tech,7.13,1,2,0,5,1,Networking,0,0.0
63.71,60.73,BCA,5.68,1,3,0,5,1,Data Science,0,0.0
69.75,83.57,MCA,8.62,1,1,0,3,0,Data Science,0,0.0
79.89,76.69,MCA,7.04,1,3,1,6,0,Machine Learning,0,0.0
62.78,64.58,BCA,6.0,1,2,1,4,1,Machine Learning,0,0.0
82.13,89.59,M.Tech,8.96,0,2,0,7,0,Networking,1,7.1
72.6,61.25,B.Sc,7.32,0,2,1,10,0,Networking,0,0.0
71.25,57.16,B.Tech,6.22,4,0,0,7,1,Testing,1,10.46
82.11,69.9,B.Sc,7.12,1,5,1,10,1,Web Development,1,6.77
79.44,89.54,B.Sc,9.59,1,2,1,5,0,Testing,1,8.27
71.39,66.98,BCA,8.31,1,2,1,4,1,Data Science,0,0.0
86.59,100.0,B.Tech,10.0,1,0,0,5,0,Testing,1,10.39
64.19,59.68,B.Tech,6.26,1,4,0,6,1,Networking,0,0.0
81.16,82.64,B.Tech,7.54,1,1,1,10,0,Testing,1,6.09
80.93,93.27,MCA,8.05,1,1,0,4,0,Core/Mechanical,1,8.67
71.9,87.95,B.Tech,8.41,1,5,0,8,1,Web Development,1,8.29
78.26,94.75,BCA,8.99,1,0,0,5,0,Networking,0,0.0
62.49,72.16,BCA,7.85,2,2,1,6,1,Machine Learning,0,0.0
84.24,92.43,B.Tech,9.35,2,1,2,4,1,Testing,1,9.96
73.15,77.89,B.Sc,6.35,0,3,0,8,1,Networking,0,0.0
69.77,76.0,M.Tech,8.13,0,2,0,6,1,Machine Learning,1,7.24
85.49,81.08,B.Sc,7.53,1,5,1,8,0,Machine Learning,1,6.34
67.96,61.41,MCA,6.16,1,3,0,7,1,Data Science,0,0.0
60.92,60.89,B.Tech,6.29,0,2,1,3,0,Data Science,0,0.0
59.43,58.07,B.Tech,7.47,1,2,0,8,0,Networking,0,0.0
81.06,77.43,M.Tech,10.0,1,1,0,3,1,Networking,1,8.0
62.2,67.77,M.Tech,6.98,2,0,0,3,0,Core/Mechanical,0,0.0
92.55,100.0,MCA,9.48,1,1,1,5,1,Web Development,1,10.6
54.18,54.89,BCA,5.88,2,3,0,5,0,Web Development,0,0.0
91.96,100.0,MCA,10.0,2,1,1,9,1,Networking,1,8.39
77.11,67.98,M.Tech,7.0,0,1,2,6,1,Data Science,0,0.0
74.03,72.48,M.Tech,8.76,3,0,0,9,0,Testing,1,9.91
